order_id,customer_id,order_date,total_amount,status,region,payment_method
1,799,7/3/2023,3291.84,Completed,East,Debit Card
2,5547,12/1/2023,758,Completed,Central,Debit Card
3,9198,3/6/2023,1053.57,Completed,East,Debit Card
4,4722,8/8/2023,1936.86,Completed,North,Credit Card
5,1154,11/19/2023,315.29,Completed,North,Debit Card
6,1460,8/24/2023,1125.06,Completed,West,Debit Card
7,1308,12/30/2023,2036.83,Completed,West,Apple Pay
8,3308,10/28/2023,888.69,Completed,North,Debit Card
9,2724,4/9/2023,14069.29,Completed,East,Debit Card
10,3884,10/15/2023,2931.18,Completed,North,Debit Card
11,1180,5/8/2023,1217.05,Completed,Central,Credit Card
12,9183,7/24/2023,1082.75,Completed,West,Credit Card
13,7875,9/13/2023,256.17,Completed,North,Apple Pay
14,7610,7/28/2023,827.49,Completed,Central,Credit Card
15,4366,7/21/2023,1814.82,Completed,South,Credit Card
16,9556,12/23/2023,329.52,Completed,Central,Debit Card
17,799,12/19/2023,274.33,Completed,Unknown,PayPal
18,5978,12/16/2023,966.66,Completed,Unknown,Debit Card
19,4676,11/8/2023,2337.54,Completed,South,Credit Card
20,4057,8/12/2023,973.32,Completed,East,Debit Card
21,2428,6/28/2023,613.75,Completed,East,Apple Pay
22,3514,12/25/2023,282.13,Completed,South,Apple Pay
23,9743,7/13/2023,2362.58,Completed,East,Apple Pay
24,4501,1/4/2023,340.47,Returned,South,Apple Pay
25,9749,8/30/2023,436.2,Completed,West,Debit Card
26,9799,2/4/2023,1417.1,Completed,Central,Apple Pay
27,4031,7/12/2023,307.6,Completed,South,PayPal
28,6404,10/10/2023,1393.02,Cancelled,East,Apple Pay
29,6151,7/10/2023,1125.13,Completed,Unknown,Credit Card
30,3505,12/3/2023,319.84,Completed,West,Debit Card
31,2726,4/21/2023,143.55,Completed,South,Credit Card
32,4985,4/22/2023,606.49,Completed,West,Apple Pay
33,537,7/30/2023,4384.92,Completed,West,Apple Pay
34,2445,9/19/2023,623.26,Completed,West,Debit Card
35,9082,7/3/2023,189.69,Completed,West,Apple Pay
36,5591,11/16/2023,415.12,Completed,West,Debit Card
37,5023,11/23/2023,678.18,Completed,South,PayPal
38,8865,9/7/2023,413.05,Completed,East,Debit Card
39,6670,4/24/2023,292.39,Completed,West,Credit Card
40,5687,5/30/2023,1495.64,Completed,North,PayPal
41,9437,4/14/2023,2453.45,Completed,South,PayPal
42,326,2/5/2023,447.12,Completed,East,PayPal
43,6313,8/25/2023,366.68,Completed,Central,Credit Card
44,875,6/6/2023,736.35,Completed,South,Debit Card
45,1745,6/8/2023,1473.22,Completed,North,Credit Card
46,8560,10/15/2023,619.89,Completed,South,Debit Card
47,2518,12/11/2023,755.08,Completed,South,Credit Card
48,2329,4/24/2023,401.69,Completed,Central,Credit Card
49,9865,10/25/2023,274.33,Completed,Central,Apple Pay
50,3015,1/27/2023,273.77,Completed,Central,Debit Card
51,7498,4/11/2023,1777.25,Completed,Central,Credit Card
52,2655,11/29/2023,187.47,Completed,East,PayPal
53,5825,4/2/2023,449.81,Completed,North,Debit Card
54,9437,7/14/2023,744.5,Completed,South,Credit Card
55,3897,7/19/2023,397.06,Cancelled,Central,PayPal
56,2795,11/7/2023,401.39,Completed,North,Apple Pay
57,3995,10/20/2023,256.17,Completed,South,PayPal
58,431,3/6/2023,30.63,Completed,West,Apple Pay
59,3211,6/17/2023,1460.67,Completed,West,Debit Card
60,3960,10/10/2023,776.15,Completed,East,Apple Pay
61,1881,6/29/2023,3000.24,Completed,Central,PayPal
62,5022,1/22/2023,94.39,Completed,East,Debit Card
63,2661,8/24/2023,766.48,Completed,West,PayPal
64,2219,8/30/2023,1078.2,Cancelled,South,PayPal
65,5094,9/30/2023,252.07,Completed,East,Debit Card
66,2821,11/13/2023,273.77,Completed,Central,PayPal
67,2144,6/5/2023,1210.41,Cancelled,West,Credit Card
68,6529,12/12/2023,796.95,Completed,Central,Apple Pay
69,9673,12/13/2023,471.55,Completed,North,Credit Card
70,835,12/2/2023,543.33,Completed,Central,PayPal
71,7710,8/11/2023,8984.9,Completed,West,Apple Pay
72,6920,2/1/2023,1619.76,Completed,Central,Debit Card
73,5920,10/29/2023,732.93,Completed,North,Apple Pay
74,5998,12/12/2023,1859.56,Completed,Central,PayPal
75,574,5/29/2023,2150.85,Completed,West,PayPal
76,7701,10/19/2023,946.27,Completed,South,Apple Pay
77,13,10/3/2023,2429.42,Completed,East,Debit Card
78,9973,1/2/2023,2922.45,Completed,East,PayPal
79,6297,5/4/2023,941.99,Completed,East,Apple Pay
80,7652,7/1/2023,430.71,Completed,East,Debit Card
81,2163,2/12/2023,428.64,Completed,East,Apple Pay
82,2269,2/8/2023,447.91,Completed,West,Debit Card
83,17,10/13/2023,1354.25,Completed,West,Debit Card
84,4775,4/24/2023,778.42,Completed,South,PayPal
85,3868,4/2/2023,2635.23,Completed,Central,Credit Card
86,3415,1/19/2023,1681.99,Completed,Central,PayPal
87,9028,6/11/2023,352.84,Completed,Central,Apple Pay
88,7200,6/14/2023,1676.72,Completed,South,Apple Pay
89,9679,5/9/2023,1129.1,Completed,West,Debit Card
90,9529,8/4/2023,3515.5,Cancelled,South,Apple Pay
91,5292,2/9/2023,539.56,Completed,North,PayPal
92,1929,4/15/2023,479.76,Completed,North,Apple Pay
93,4392,12/12/2023,2742.27,Completed,Central,Credit Card
94,5447,10/29/2023,193.8,Completed,Central,PayPal
95,5612,12/30/2023,1080.92,Completed,North,Apple Pay
96,3661,2/1/2023,579.6,Completed,South,PayPal
97,252,1/30/2023,1060.75,Completed,East,Apple Pay
98,7714,11/15/2023,1587.17,Completed,South,PayPal
99,6060,11/13/2023,1729.86,Completed,North,Credit Card
100,1637,10/6/2023,154.28,Completed,West,Debit Card
101,3128,12/8/2023,2791.45,Completed,North,Credit Card
102,3899,10/9/2023,1830.15,Completed,West,Credit Card
103,9817,8/31/2023,367.55,Completed,East,Credit Card
104,2478,12/5/2023,1020.41,Completed,Central,Apple Pay
105,8493,11/16/2023,742.35,Completed,Central,PayPal
106,6690,12/31/2023,193.6,Completed,South,Apple Pay
107,8857,11/24/2023,164.76,Completed,East,Apple Pay
108,9904,12/22/2023,1816.72,Completed,South,Apple Pay
109,7569,11/24/2023,250.59,Completed,East,Apple Pay
110,4358,8/21/2023,2003.91,Completed,West,Credit Card
111,3325,4/11/2023,1238.19,Completed,Central,Apple Pay
112,3648,12/17/2023,805.26,Completed,North,Apple Pay
113,5220,4/13/2023,270.86,Completed,West,Credit Card
114,1765,8/16/2023,593.62,Completed,South,Credit Card
115,6907,11/1/2023,2876.18,Completed,North,PayPal
116,2252,12/27/2023,3170.97,Completed,East,PayPal
117,4293,7/11/2023,684.6,Completed,South,Debit Card
118,4625,5/11/2023,352.84,Completed,North,PayPal
119,6665,8/3/2023,2465.02,Completed,West,PayPal
120,9753,11/13/2023,475.16,Completed,Central,Credit Card
121,1158,12/30/2023,2574.63,Completed,North,PayPal
122,3040,6/7/2023,898.73,Completed,Central,PayPal
123,6832,11/4/2023,1860.2,Completed,South,PayPal
124,7927,6/11/2023,813.52,Completed,East,Debit Card
125,1940,11/10/2023,152.53,Completed,South,Debit Card
126,5013,9/12/2023,1611.98,Completed,West,Debit Card
127,1300,8/8/2023,1277.68,Completed,Central,Apple Pay
128,394,2/15/2023,1802.19,Completed,West,Debit Card
129,9908,11/16/2023,100.33,Completed,East,Debit Card
130,9139,4/27/2023,1630.78,Completed,West,PayPal
131,5281,11/30/2023,591.58,Completed,East,Debit Card
132,4722,8/11/2023,925.77,Completed,North,Credit Card
133,4458,1/10/2023,1565.22,Completed,West,Apple Pay
134,2839,6/28/2023,2100.86,Completed,East,Debit Card
135,7,11/15/2023,543.53,Completed,North,PayPal
136,1566,8/16/2023,661.44,Completed,East,PayPal
137,1604,12/3/2023,1686.49,Completed,West,Debit Card
138,3846,5/13/2023,4140.13,Completed,East,Debit Card
139,8004,5/24/2023,132.48,Completed,West,Apple Pay
140,7343,4/19/2023,779.55,Completed,North,PayPal
141,9531,11/10/2023,1022.19,Completed,South,Credit Card
142,2426,11/30/2023,2046.36,Completed,North,Debit Card
143,8362,8/15/2023,788.31,Completed,West,Credit Card
144,5701,5/13/2023,1365.96,Completed,North,Apple Pay
145,2798,4/13/2023,3440.55,Completed,Central,Debit Card
146,6045,12/7/2023,8831.2,Completed,East,Debit Card
147,1956,10/30/2023,1128.91,Completed,West,Debit Card
148,2684,9/23/2023,617.32,Completed,Central,Credit Card
149,3573,4/15/2023,1972.1,Completed,Central,Credit Card
150,9973,12/20/2023,618.93,Completed,East,Debit Card
151,6147,8/3/2023,442.46,Completed,West,Debit Card
152,3032,11/24/2023,391.53,Completed,West,PayPal
153,7882,2/22/2023,89.27,Completed,North,Debit Card
154,9739,3/8/2023,585.82,Completed,West,Debit Card
155,9862,1/26/2023,653.2,Completed,West,PayPal
156,2199,8/26/2023,303.46,Completed,North,PayPal
157,3962,3/8/2023,181.61,Completed,North,Apple Pay
158,2040,3/19/2023,3816.02,Completed,South,Debit Card
159,8737,12/29/2023,2161.82,Completed,West,PayPal
160,6122,12/31/2023,2051.35,Completed,East,Apple Pay
161,1112,10/1/2023,1151.76,Completed,West,PayPal
162,9761,4/13/2023,618.93,Completed,Central,Debit Card
163,5463,8/2/2023,2486.02,Completed,South,Credit Card
164,9953,11/1/2023,526.08,Completed,West,Apple Pay
165,8680,11/11/2023,352.84,Completed,Central,Debit Card
166,9531,10/11/2023,984.1,Completed,South,Debit Card
167,6540,11/11/2023,1695.09,Completed,South,PayPal
168,923,12/29/2023,2534.57,Completed,Central,PayPal
169,5751,4/23/2023,1608.66,Completed,Central,PayPal
170,1180,3/8/2023,2447.66,Completed,Central,PayPal
171,4321,11/14/2023,280.61,Completed,South,Credit Card
172,1885,11/15/2023,1417.1,Completed,East,Apple Pay
173,9172,6/25/2023,3998.39,Completed,West,Debit Card
174,597,9/3/2023,105.06,Completed,South,PayPal
175,8691,4/4/2023,435.69,Completed,Central,Debit Card
176,8684,1/15/2023,1252.19,Completed,West,Apple Pay
177,3553,3/12/2023,1185.66,Completed,East,Apple Pay
178,4796,11/30/2023,1321.63,Completed,South,Debit Card
179,4891,1/2/2023,485.89,Completed,Central,Apple Pay
180,1791,10/28/2023,661.44,Completed,South,Apple Pay
181,943,3/21/2023,235.13,Completed,East,PayPal
182,1682,8/21/2023,377.58,Completed,West,Debit Card
183,5689,1/12/2023,1910.87,Completed,South,Debit Card
184,9292,8/10/2023,88.32,Completed,Central,Credit Card
185,4122,9/8/2023,1262.36,Returned,Central,Credit Card
186,3974,1/12/2023,1714.39,Completed,West,PayPal
187,6762,12/11/2023,1911.37,Completed,North,Credit Card
188,3876,2/15/2023,493.21,Completed,South,Debit Card
189,3041,2/13/2023,1629.76,Completed,South,Apple Pay
190,3493,1/31/2023,428.94,Completed,East,PayPal
191,447,12/5/2023,2440.64,Completed,North,Debit Card
192,5978,1/4/2023,870.51,Completed,North,PayPal
193,3713,9/9/2023,2318.85,Completed,North,Debit Card
194,2255,11/14/2023,2784.03,Completed,South,Debit Card
195,7183,1/28/2023,517.32,Completed,North,Credit Card
196,4449,2/21/2023,2424.13,Completed,Central,Apple Pay
197,3272,3/21/2023,314.92,Completed,South,Apple Pay
198,5882,5/15/2023,428.96,Completed,West,Debit Card
